"stfips","year","dins","yexp2","W","treated","rel_year"
"alabama",2008,0.681412220001221,Inf,613156,0,-Inf
"alabama",2009,0.658062100410461,Inf,613156,0,-Inf
"alabama",2010,0.631365120410919,Inf,613156,0,-Inf
"alabama",2011,0.656388640403748,Inf,613156,0,-Inf
"alabama",2012,0.670811474323273,Inf,613156,0,-Inf
"alabama",2013,0.652154386043549,Inf,613156,0,-Inf
"alabama",2014,0.688614666461945,Inf,613156,0,-Inf
"alabama",2015,0.704941093921661,Inf,613156,0,-Inf
"alabama",2016,0.72039920091629,Inf,613156,0,-Inf
"alabama",2017,0.739164650440216,Inf,613156,0,-Inf
"alabama",2018,0.695576429367065,Inf,613156,0,-Inf
"alabama",2019,0.727472841739655,Inf,613156,0,-Inf
"alaska",2008,0.490274399518967,2016,63595,0,-8
"alaska",2009,0.471383035182953,2016,63595,0,-7
"alaska",2010,0.523869335651398,2016,63595,0,-6
"alaska",2011,0.55135178565979,2016,63595,0,-5
"alaska",2012,0.473102301359177,2016,63595,0,-4
"alaska",2013,0.579175055027008,2016,63595,0,-3
"alaska",2014,0.531309008598328,2016,63595,0,-2
"alaska",2015,0.622264623641968,2016,63595,0,-1
"alaska",2016,0.65498411655426,2016,63595,1,0
"alaska",2017,0.65888249874115,2016,63595,1,1
"alaska",2018,0.710450947284698,2016,63595,1,2
"alaska",2019,0.713079690933228,2016,63595,1,3
"arizona",2008,0.609876275062561,2014,741152,0,-6
"arizona",2009,0.603841304779053,2014,741152,0,-5
"arizona",2010,0.622157454490662,2014,741152,0,-4
"arizona",2011,0.621818423271179,2014,741152,0,-3
"arizona",2012,0.605209767818451,2014,741152,0,-2
"arizona",2013,0.614528357982635,2014,741152,0,-1
"arizona",2014,0.688494145870209,2014,741152,1,0
"arizona",2015,0.754056096076965,2014,741152,1,1
"arizona",2016,0.74924111366272,2014,741152,1,2
"arizona",2017,0.749587655067444,2014,741152,1,3
"arizona",2018,0.738300383090973,2014,741152,1,4
"arizona",2019,0.735501170158386,2014,741152,1,5
"arkansas",2008,0.623864948749542,2014,389081,0,-6
"arkansas",2009,0.616609513759613,2014,389081,0,-5
"arkansas",2010,0.601946890354156,2014,389081,0,-4
"arkansas",2011,0.61867493391037,2014,389081,0,-3
"arkansas",2012,0.647255539894104,2014,389081,0,-2
"arkansas",2013,0.660112977027893,2014,389081,0,-1
"arkansas",2014,0.724623918533325,2014,389081,1,0
"arkansas",2015,0.780925631523132,2014,389081,1,1
"arkansas",2016,0.816842436790466,2014,389081,1,2
"arkansas",2017,0.796191930770874,2014,389081,1,3
"arkansas",2018,0.779827833175659,2014,389081,1,4
"arkansas",2019,0.778677463531494,2014,389081,1,5
"california",2008,0.576634645462036,2014,3657406,0,-6
"california",2009,0.556698262691498,2014,3657406,0,-5
"california",2010,0.560785830020905,2014,3657406,0,-4
"california",2011,0.565227568149567,2014,3657406,0,-3
"california",2012,0.567108035087585,2014,3657406,0,-2
"california",2013,0.586947202682495,2014,3657406,0,-1
"california",2014,0.689255893230438,2014,3657406,1,0
"california",2015,0.777474045753479,2014,3657406,1,1
"california",2016,0.800353348255157,2014,3657406,1,2
"california",2017,0.806535601615906,2014,3657406,1,3
"california",2018,0.808331668376923,2014,3657406,1,4
"california",2019,0.791604995727539,2014,3657406,1,5
"colorado",2008,0.604229986667633,2014,531915,0,-6
"colorado",2009,0.622359693050385,2014,531915,0,-5
"colorado",2010,0.62432599067688,2014,531915,0,-4
"colorado",2011,0.621745705604553,2014,531915,0,-3
"colorado",2012,0.631078243255615,2014,531915,0,-2
"colorado",2013,0.653115212917328,2014,531915,0,-1
"colorado",2014,0.751154601573944,2014,531915,1,0
"colorado",2015,0.792861342430115,2014,531915,1,1
"colorado",2016,0.78642749786377,2014,531915,1,2
"colorado",2017,0.788481414318085,2014,531915,1,3
"colorado",2018,0.794976115226746,2014,531915,1,4
"colorado",2019,0.787310898303986,2014,531915,1,5
"connecticut",2008,0.703660130500793,2014,263488,0,-6
"connecticut",2009,0.693790853023529,2014,263488,0,-5
